user_id,age,session_duration,number_of_actions,last_active_days,session_topic,engagement_label
1,27,30,17,29,Innovation Strategies,1
2,34,55,9,5,Collaboration Tools,0
3,32,97,5,1,Data Science,0
4,34,99,11,30,Collaboration Tools,1
5,47,62,19,21,Innovation Strategies,1
6,29,26,16,25,Data Science,1
7,60,47,24,29,AI,1
8,40,10,3,10,Collaboration Tools,1
9,44,9,7,4,Data Science,1
10,59,98,27,19,Machine Learning,0
11,22,89,1,27,AI,1
12,34,109,3,15,Data Analytics,1
13,54,107,40,21,Innovation Strategies,1
14,57,36,40,11,Collaboration Tools,1
15,58,113,12,4,Innovation Strategies,0
16,25,5,13,12,Machine Learning,0
17,38,89,15,29,AI,1
18,45,14,36,22,AI,0
19,23,68,14,13,Innovation Strategies,1
20,48,72,32,29,Data Science,1
21,34,119,40,22,Data Science,1
22,50,9,38,1,AI,1
23,56,21,1,3,Collaboration Tools,1
24,35,51,1,5,AI,1
25,59,28,33,1,Data Science,1
26,47,39,28,20,Innovation Strategies,0
27,26,63,32,18,Data Analytics,1
28,57,41,25,10,Data Analytics,1
29,24,88,17,7,AI,1
30,50,87,5,27,AI,1
31,37,83,6,3,Innovation Strategies,0
32,33,33,31,8,Machine Learning,1
33,53,66,38,29,Machine Learning,0
34,26,84,30,21,Machine Learning,0
35,60,39,21,27,Collaboration Tools,1
36,38,76,26,29,AI,0
37,22,99,22,17,Data Science,1
38,35,95,23,2,Innovation Strategies,1
39,38,48,9,16,Data Analytics,1
40,30,119,18,12,Data Analytics,0
41,49,7,37,6,Collaboration Tools,1
42,27,19,25,15,Data Science,1
43,23,94,14,1,Data Analytics,1
44,57,106,5,3,Innovation Strategies,1
45,33,111,23,3,Data Science,0
46,27,119,30,28,AI,0
47,38,30,31,6,Data Science,0
48,34,84,40,16,Data Science,0
49,45,99,38,22,Machine Learning,1
50,30,72,31,21,Machine Learning,0
51,56,52,28,29,Collaboration Tools,1
52,44,17,10,4,AI,1
53,27,88,36,5,Innovation Strategies,1
54,28,99,13,13,Collaboration Tools,1
55,54,114,33,14,Machine Learning,0
56,43,27,23,14,Collaboration Tools,1
57,25,19,27,7,Data Science,1
58,22,68,22,13,AI,1
59,58,94,11,4,Data Science,1
60,34,8,1,13,Innovation Strategies,1
61,41,77,3,19,Data Science,0
62,45,7,35,28,Collaboration Tools,0
63,47,64,36,7,AI,1
64,23,68,37,2,Innovation Strategies,1
65,54,115,2,13,Collaboration Tools,1
66,35,7,10,20,Collaboration Tools,0
67,35,104,4,17,Data Science,1
68,30,42,2,23,Data Analytics,1
69,56,72,11,28,Machine Learning,0
70,30,78,27,22,Innovation Strategies,1
71,47,47,10,19,Machine Learning,1
72,51,46,20,2,Innovation Strategies,1
73,56,45,36,28,Innovation Strategies,1
74,38,96,31,18,Data Science,1
75,47,5,5,0,AI,1
76,48,68,21,12,Collaboration Tools,1
77,34,8,23,23,Data Science,1
78,39,103,2,19,AI,0
79,33,29,10,30,Machine Learning,1
80,52,105,35,5,Innovation Strategies,1
81,39,37,3,10,Data Analytics,0
82,56,103,6,7,Data Analytics,1
83,41,61,31,15,Collaboration Tools,1
84,50,50,36,17,Innovation Strategies,0
85,46,54,20,24,Data Science,1
86,37,52,29,7,Innovation Strategies,0
87,29,106,23,12,Data Science,1
88,46,104,29,3,Data Science,1
89,52,116,21,27,Data Science,1
90,29,11,4,5,Data Analytics,1
91,31,96,16,17,Data Analytics,1
92,23,63,10,8,Collaboration Tools,1
93,24,35,9,7,AI,1
94,35,11,2,23,Innovation Strategies,0
95,45,44,10,8,Machine Learning,0
96,26,11,20,16,Innovation Strategies,1
97,54,10,12,28,Data Analytics,1
98,23,16,13,23,Data Analytics,0
99,49,53,15,11,Data Analytics,1
100,60,55,9,13,Collaboration Tools,1
101,60,41,20,30,Innovation Strategies,1
102,49,76,35,21,Data Analytics,1
103,27,36,33,15,Innovation Strategies,1
104,38,14,3,30,AI,1
105,42,33,23,24,Machine Learning,1
106,51,28,6,6,Data Science,0
107,39,73,34,27,Data Science,1
108,46,79,13,22,Innovation Strategies,1
109,41,86,16,11,Data Science,0
110,50,73,1,12,Collaboration Tools,1
111,49,47,18,8,Data Analytics,0
112,53,40,25,25,Innovation Strategies,1
113,28,81,7,5,Innovation Strategies,1
114,60,11,25,12,Innovation Strategies,1
115,39,58,28,28,Data Analytics,0
116,34,82,7,24,Data Analytics,1
117,59,55,29,21,Data Analytics,1
118,42,76,22,21,Machine Learning,1
119,46,77,35,20,AI,1
120,24,99,28,15,Machine Learning,1
121,51,27,34,11,Data Analytics,1
122,36,21,3,15,Data Analytics,0
123,28,112,28,9,Collaboration Tools,0
124,45,41,9,0,AI,1
125,37,80,5,18,Collaboration Tools,1
126,35,5,7,12,AI,0
127,22,73,24,21,Innovation Strategies,1
128,44,116,40,26,Machine Learning,1
129,22,38,12,3,AI,1
130,60,13,25,10,Collaboration Tools,1
131,27,13,12,15,Innovation Strategies,1
132,28,81,5,26,Collaboration Tools,1
133,56,82,10,8,Machine Learning,1
134,44,55,4,27,Data Science,1
135,40,108,4,25,Data Science,0
136,38,47,13,30,Data Science,1
137,33,84,20,16,Collaboration Tools,1
138,60,112,7,25,AI,1
139,31,86,18,18,Collaboration Tools,0
140,43,84,11,14,AI,0
141,49,93,14,26,Collaboration Tools,1
142,32,14,21,3,Data Analytics,1
143,60,83,15,20,Collaboration Tools,1
144,33,93,40,6,Collaboration Tools,1
145,43,102,22,10,Data Science,1
146,60,72,7,27,Machine Learning,1
147,42,90,35,27,AI,0
148,58,109,15,24,Machine Learning,1
149,39,62,15,17,Innovation Strategies,0
150,50,120,36,0,Data Science,1
151,59,69,20,25,Innovation Strategies,1
152,43,35,5,7,AI,1
153,57,20,30,29,Data Analytics,1
154,33,118,19,17,Collaboration Tools,0
155,37,78,38,21,Innovation Strategies,1
156,22,108,40,19,AI,1
157,29,29,28,10,AI,1
158,31,46,37,28,Collaboration Tools,0
159,39,110,6,27,Machine Learning,1
160,33,92,26,21,Data Science,1
161,32,115,30,30,Collaboration Tools,1
162,39,44,26,4,Innovation Strategies,1
163,47,45,7,16,Data Analytics,1
164,47,51,12,21,Machine Learning,1
165,25,65,34,19,AI,0
166,22,47,3,16,Innovation Strategies,0
167,58,5,8,24,Innovation Strategies,1
168,33,20,18,20,Collaboration Tools,1
169,51,114,11,28,Innovation Strategies,1
170,51,20,16,29,Data Science,1
171,31,100,15,14,Collaboration Tools,1
172,22,120,9,3,Innovation Strategies,0
173,46,94,31,27,Machine Learning,0
174,48,67,27,3,Innovation Strategies,1
175,25,54,12,15,Data Analytics,1
176,48,105,38,11,Data Science,1
177,36,30,38,9,Data Science,0
178,32,33,29,28,Collaboration Tools,1
179,47,58,23,15,Data Analytics,1
180,48,70,27,2,Innovation Strategies,1
181,54,48,32,15,Machine Learning,1
182,60,110,24,29,Innovation Strategies,0
183,59,111,32,16,Data Science,1
184,57,23,14,30,Machine Learning,1
185,26,48,39,15,Machine Learning,1
186,54,88,34,22,Data Analytics,1
187,32,65,39,15,Innovation Strategies,1
188,50,76,14,7,AI,0
189,25,45,13,19,Collaboration Tools,1
190,36,107,24,29,Innovation Strategies,0
191,44,113,14,2,Collaboration Tools,1
192,50,67,21,7,Innovation Strategies,1
193,44,100,28,27,Data Science,1
194,25,49,27,4,Collaboration Tools,1
195,57,40,31,29,Collaboration Tools,1
196,31,33,16,18,Data Analytics,0
197,28,56,26,23,Collaboration Tools,0
198,57,62,37,3,Data Analytics,1
199,27,22,11,7,Innovation Strategies,0
200,27,107,22,3,Machine Learning,1
201,28,79,38,14,Collaboration Tools,1
202,45,37,35,15,Data Science,1
203,27,21,5,25,Data Science,1
204,32,9,30,20,Collaboration Tools,1
205,31,48,26,21,AI,1
206,43,75,26,14,Data Science,1
207,38,75,38,29,Machine Learning,1
208,58,53,12,27,Collaboration Tools,1
209,59,28,9,14,Data Analytics,1
210,43,100,37,30,Data Science,1
211,50,75,22,25,Machine Learning,1
212,38,6,13,2,Innovation Strategies,0
213,37,29,35,11,Machine Learning,1
214,27,91,18,9,Data Science,1
215,23,6,6,30,Machine Learning,0
216,54,29,11,7,AI,1
217,58,71,1,17,AI,1
218,44,10,9,5,Data Science,0
219,36,108,22,21,Innovation Strategies,1
220,22,28,38,6,AI,0
221,45,47,5,20,Data Science,0
222,26,67,16,2,Data Science,1
223,27,114,30,24,Innovation Strategies,1
224,25,72,4,26,Collaboration Tools,1
225,42,113,7,23,Collaboration Tools,1
226,49,75,32,6,Collaboration Tools,0
227,49,6,7,26,AI,1
228,46,109,3,20,Innovation Strategies,1
229,60,35,39,15,Collaboration Tools,0
230,42,119,11,21,Collaboration Tools,1
231,46,98,16,19,Data Analytics,1
232,35,112,13,26,AI,1
233,25,23,29,0,Collaboration Tools,1
234,45,117,24,28,Innovation Strategies,1
235,38,21,17,16,Data Science,0
236,58,76,38,19,Data Analytics,0
237,29,67,40,23,Data Science,1
238,23,93,3,7,Machine Learning,1
239,47,8,2,12,Collaboration Tools,1
240,42,53,21,6,Data Science,1
241,47,16,23,15,AI,0
242,35,47,34,7,Innovation Strategies,1
243,32,20,24,1,Collaboration Tools,1
244,50,16,7,19,Innovation Strategies,0
245,57,60,3,5,Machine Learning,1
246,39,10,10,18,Data Analytics,1
247,23,32,6,15,AI,1
248,32,19,19,27,Data Science,0
249,29,13,30,9,AI,1
250,58,111,4,28,AI,1
251,28,108,4,3,Machine Learning,1
252,53,75,10,24,Collaboration Tools,1
253,38,86,21,3,Innovation Strategies,0
254,41,63,9,20,AI,1
255,30,120,40,10,Data Analytics,1
256,35,10,22,28,Innovation Strategies,1
257,47,119,5,11,AI,0
258,43,87,24,10,Collaboration Tools,0
259,30,73,10,21,Collaboration Tools,1
260,57,110,1,12,Data Science,1
261,40,115,13,24,AI,1
262,33,84,7,4,Innovation Strategies,0
263,48,6,39,22,AI,1
264,56,17,10,1,AI,1
265,56,108,24,22,Data Analytics,0
266,29,6,11,29,Innovation Strategies,0
267,35,97,15,20,Collaboration Tools,1
268,45,77,32,28,Machine Learning,0
269,47,20,2,23,Collaboration Tools,1
270,29,119,15,7,AI,0
271,23,34,34,24,Collaboration Tools,1
272,47,64,8,19,Data Science,1
273,34,86,38,15,Collaboration Tools,1
274,28,81,7,21,Machine Learning,1
275,41,45,8,4,AI,1
276,26,99,9,7,Machine Learning,1
277,25,32,40,9,Data Analytics,0
278,34,66,2,2,Innovation Strategies,0
279,51,7,2,18,Collaboration Tools,1
280,35,41,6,23,Data Science,0
281,32,75,5,8,Data Science,1
282,33,48,40,18,Collaboration Tools,1
283,58,48,35,19,Data Science,1
284,35,90,1,4,Collaboration Tools,1
285,39,107,13,3,Innovation Strategies,1
286,56,20,30,22,Collaboration Tools,1
287,59,102,31,4,Data Science,1
288,29,38,23,27,Innovation Strategies,1
289,36,17,12,11,AI,1
290,31,43,38,8,Data Analytics,0
291,31,95,3,25,Innovation Strategies,0
292,45,107,33,7,Data Analytics,1
293,39,100,20,23,AI,1
294,42,119,32,29,Data Analytics,1
295,40,21,7,16,Innovation Strategies,0
296,39,76,27,17,AI,0
297,44,43,5,5,AI,0
298,25,86,5,7,Machine Learning,1
299,47,51,1,17,Innovation Strategies,1
300,60,110,2,15,Collaboration Tools,1
301,44,91,25,5,Data Analytics,1
302,43,27,8,21,Innovation Strategies,1
303,55,19,38,2,Machine Learning,0
304,47,41,23,13,Data Science,1
305,35,66,31,30,Collaboration Tools,1
306,40,106,27,19,Machine Learning,1
307,55,10,35,22,Machine Learning,1
308,47,30,18,23,Data Science,0
309,45,98,33,1,AI,0
310,39,17,28,21,Machine Learning,0
311,58,101,22,9,Innovation Strategies,0
312,35,26,4,4,Machine Learning,1
313,59,41,24,2,Data Science,1
314,41,79,26,14,AI,0
315,22,115,37,7,AI,1
316,24,98,15,29,Machine Learning,1
317,34,114,2,0,Collaboration Tools,1
318,29,45,10,2,AI,0
319,25,75,6,14,Collaboration Tools,1
320,51,84,28,19,AI,0
321,40,42,37,2,Machine Learning,1
322,55,54,1,26,Innovation Strategies,1
323,41,78,20,18,Data Science,0
324,55,14,18,28,Collaboration Tools,0
325,44,64,29,9,Machine Learning,0
326,57,9,3,27,AI,1
327,46,60,22,11,Data Science,1
328,56,106,19,30,Collaboration Tools,0
329,42,25,3,28,Innovation Strategies,0
330,43,77,40,11,Collaboration Tools,0
331,43,75,34,8,Data Analytics,0
332,30,59,12,7,Machine Learning,1
333,24,115,18,2,Data Analytics,0
334,54,112,26,30,AI,1
335,58,17,28,16,AI,1
336,37,28,40,23,Machine Learning,1
337,37,76,29,28,Data Science,1
338,39,91,5,6,Collaboration Tools,0
339,36,35,22,3,Collaboration Tools,1
340,59,116,10,16,Innovation Strategies,1
341,29,59,35,23,AI,1
342,55,9,33,9,Machine Learning,0
343,22,60,4,16,Machine Learning,1
344,29,109,9,24,Innovation Strategies,1
345,54,96,34,18,AI,1
346,32,61,6,18,Data Analytics,1
347,22,51,38,13,Machine Learning,0
348,43,56,30,1,Machine Learning,0
349,45,33,22,24,Machine Learning,1
350,54,18,17,18,Collaboration Tools,1
351,25,63,15,24,Machine Learning,1
352,51,35,1,19,Collaboration Tools,1
353,26,77,40,29,Machine Learning,1
354,22,101,38,15,Machine Learning,1
355,52,24,4,26,AI,0
356,56,72,19,9,Machine Learning,1
357,43,56,23,1,Innovation Strategies,1
358,42,114,13,28,Data Science,0
359,50,24,2,1,Innovation Strategies,1
360,39,32,30,6,AI,1
361,54,41,24,10,Collaboration Tools,1
362,32,43,7,14,Innovation Strategies,1
363,26,45,27,24,Machine Learning,0
364,43,5,7,3,Data Analytics,1
365,47,50,21,20,Machine Learning,1
366,53,34,6,4,Machine Learning,1
367,33,116,25,3,Data Science,1
368,59,80,18,25,Machine Learning,0
369,53,11,35,26,Data Analytics,1
370,58,97,14,5,Data Science,1
371,52,55,18,6,Data Analytics,1
372,48,12,6,4,Collaboration Tools,1
373,27,99,26,24,Innovation Strategies,0
374,22,37,20,3,Collaboration Tools,1
375,47,71,12,4,AI,1
376,42,59,16,10,Innovation Strategies,1
377,36,56,29,12,Collaboration Tools,1
378,51,48,13,12,Collaboration Tools,0
379,60,48,30,30,Collaboration Tools,1
380,44,9,25,11,Innovation Strategies,1
381,40,50,33,7,Innovation Strategies,1
382,58,9,26,2,Machine Learning,1
383,53,11,32,0,AI,1
384,46,113,2,24,AI,1
385,41,45,7,14,Machine Learning,0
386,49,81,38,20,Machine Learning,1
387,50,65,23,5,AI,1
388,38,43,25,9,Innovation Strategies,1
389,26,103,2,13,Collaboration Tools,1
390,41,5,38,7,Data Science,0
391,45,24,37,21,Innovation Strategies,0
392,23,87,15,11,Data Analytics,1
393,48,40,39,27,AI,1
394,45,76,9,16,Innovation Strategies,0
395,24,120,14,25,Data Science,0
396,55,88,29,26,Collaboration Tools,1
397,28,85,26,12,Data Analytics,1
398,30,48,35,16,Data Science,0
399,47,9,38,2,AI,1
400,46,36,14,21,Data Science,1
401,46,38,28,19,Data Analytics,1
402,51,15,9,26,Machine Learning,0
